County,Year,LST,Precipitation,NDVI,RH,avg_temp,max_temp,min_temp,Cases
Pima,2006,36.62354261,0.791023499,0.199174874,61.66309541,20.82999226,33.34,10.127,0
Santa Cruz,2006,31.50931535,1.223424534,0.302374399,69.56705733,17.07536391,29.943,6.448,0
Gila,2006,28.31325793,1.235358048,0.355016884,61.66644739,15.49143956,27.803,2.646,2
Yuma,2006,39.89133026,0.175423804,0.144477434,57.5048865,23.64955147,35.569,12.451,0
Cochise,2006,32.67063711,0.960474831,0.247526013,68.1404001,17.0142403,29.133,5.549,0
Yavapai,2006,30.94228462,0.869657845,0.271384448,62.16517212,15.96127157,27.921,3.123,0
La Paz,2006,38.17243671,0.280180028,0.15503486,53.21746563,22.90592979,34.784,11.454,0
Mohave,2006,32.48537198,0.51898762,0.193137644,52.1212127,17.45799776,29.426,5.425,0
Coconino,2006,27.71797244,0.808371985,0.244142096,69.14003703,12.51846154,25.267,-0.253,0
Greenlee,2006,27.17088585,1.315879376,0.335517064,68.40009879,13.7954688,25.022,0.745,0
Graham,2006,31.64690589,1.016227477,0.271693995,65.25647738,16.76785767,28.864,4.596,0
Pinal,2006,36.20465468,0.747037027,0.215856961,58.38675793,21.28637799,33.682,9.697,1
Maricopa,2006,37.95083697,0.501064013,0.186647081,55.55414906,22.42778147,34.295,10.249,3
Navajo,2006,29.20394377,0.761542956,0.213207377,72.7213318,12.57883423,25.507,-0.643,5
Apache,2006,27.21815706,0.897210013,0.246195477,77.71326177,11.34358677,24.934,-1.545,0
Pima,2007,36.87358765,0.866644644,0.204994101,62.92957877,20.748348,34.312,9.446,0
Santa Cruz,2007,31.60054182,1.287819226,0.30823632,70.49520743,17.1040149,31.301,6.153,0
Gila,2007,28.4056976,1.646398344,0.365058572,61.91973102,15.32405688,28.936,2.468,3
Yuma,2007,40.20353978,0.242816117,0.138544906,57.84080567,23.57864329,36.03,12.003,0
Cochise,2007,32.91139957,1.025486929,0.247643611,68.86303551,16.95913533,29.779,5.106,0
Yavapai,2007,31.34928301,1.092786035,0.274078823,62.08524715,15.87520648,29.147,3.088,0
La Paz,2007,38.55894028,0.370962866,0.149610951,53.56614264,22.81356665,35.454,11.09,0
Mohave,2007,33.01094219,0.616918321,0.189836727,52.37244081,17.34508332,30.431,5.209,0
Coconino,2007,28.13737216,0.880165599,0.233290593,68.44666926,12.34206703,26.084,-0.679,0
Greenlee,2007,27.45150786,1.367828862,0.331689619,68.18160334,13.50137711,25.93,-0.261,0
Graham,2007,31.6537047,1.102220146,0.277491634,66.0001697,16.61075555,29.573,4.153,0
Pinal,2007,36.40254574,0.812324534,0.225509462,59.68489479,21.06890961,34.779,9.138,0
Maricopa,2007,38.15913472,0.594765939,0.192660282,56.69208112,22.22658892,35.145,9.974,2
Navajo,2007,29.56515437,0.783096961,0.206935611,72.58918916,12.28587105,25.882,-1.232,4
Apache,2007,27.39106037,0.932217034,0.23669368,77.74935049,10.91585398,25.014,-2.419,0
Pima,2008,37.12490268,0.703432577,0.198097941,61.00487204,20.94359784,34.005,10.267,0
Santa Cruz,2008,31.80810964,1.098241275,0.293438835,67.90688593,17.4004152,30.683,6.696,0
Gila,2008,28.07614675,1.412735366,0.37327543,61.32499649,15.26799493,28.299,2.455,10
Yuma,2008,40.2396424,0.229584206,0.141061486,56.75302936,23.72557592,36.362,13.015,0
Cochise,2008,33.08908704,0.910059333,0.23083808,66.267619,17.15065397,29.977,5.445,0
Yavapai,2008,30.96981292,0.950028027,0.283187183,61.93454819,15.71789803,28.647,3.401,0
La Paz,2008,38.45408259,0.333043894,0.157258575,52.95894341,22.83765473,35.413,11.898,0
Mohave,2008,32.74946334,0.551634932,0.198808608,53.3623026,17.04941416,30.161,5.914,0
Coconino,2008,27.61822962,0.753037725,0.229224195,68.5077195,11.9380215,26.04,-0.664,0
Greenlee,2008,27.5323162,1.154063886,0.323319207,65.56598067,13.4777719,25.124,-0.042,0
Graham,2008,31.86084437,0.937445361,0.261252463,63.72776076,16.66319182,29.462,4.524,0
Pinal,2008,36.4465291,0.680936753,0.228569846,58.3575702,21.11391633,34.214,9.503,0
Maricopa,2008,38.09006945,0.488939258,0.200055528,55.17481773,22.2629777,34.754,10.515,0
Navajo,2008,29.22298828,0.615149881,0.20179456,71.91899543,12.03182062,25.736,-0.792,7
Apache,2008,27.11671748,0.761503829,0.231143647,76.60842525,10.676689,24.773,-1.966,0
Pima,2009,37.13598747,0.61141687,0.194808021,60.08378768,20.91556953,34.846,10.436,0
Santa Cruz,2009,31.65149196,1.046913941,0.295138516,66.95276843,17.33493698,31.854,7.15,0
Gila,2009,28.07114772,1.310097459,0.376336116,62.18855373,15.26968892,28.621,2.753,8
Yuma,2009,40.31171194,0.214795721,0.148226696,58.76288915,23.64488227,36.862,12.671,0
Cochise,2009,32.90776726,0.875568451,0.231553668,66.41846102,17.07869758,30.037,5.778,0
Yavapai,2009,30.85001176,0.971170579,0.292778839,63.44306938,15.57619527,28.858,3.153,0
La Paz,2009,38.67660453,0.314590996,0.163517939,55.31469654,22.78427604,35.719,11.779,0
Mohave,2009,32.9347655,0.632092118,0.205329279,56.43463062,16.89961521,30.201,5.678,0
